Year,Date,Time,Type,Sex,Age,Activity,Location,Country,State,Fatal Y/N,Time_Range,Activity_clean,Activity_grouped
2024,October,,Unprovoked,M,27,Surfing,Martin County,USA,Florida,N,Unknown,surfing,Surfing
2024,October,,Unprovoked,M,16,Surfing,Brevard County,USA,Florida,N,Unknown,surfing,Surfing
2024,July,11:15:00,Unprovoked,M,14,Diving into Water,Ponce de Leon Inlet Volusia County,USA,Florida,N,Morning,diving into water,Diving
2024,July,16:15:00,Unprovoked,M,26,Wading,Volusia County,USA,Florida,N,Afternoon,wading,Wading/Standing
2024,July,,Unprovoked,Y,45,Swimming,Cameron County,USA,Texas,N,Unknown,swimming,Swimming
2024,July,11:00:00,Unprovoked,M,21,Playing football in the water,Volusia County,USA,Florida,N,Morning,playing football in the water,Other
2024,July,11:00:00,Unprovoked,M,,Swimming,Volusia County,USA,Florida,N,Morning,swimming,Swimming
2024,June,,Unprovoked,M,49,Surfing,Goat Island (Moku'auia) La'ie Bay,USA,Hawaii,Y,Unknown,surfing,Surfing
2024,June,14:00:00,Unprovoked,Y,25,Unconfirmed Possibly swimming near the boat harbour,Oahu County,USA,Hawaii,N,Afternoon,unconfirmed possibly swimming near the boat harbour,Swimming
2024,June,15:00:00,Unprovoked,Y,15,Wading,Rosemary Beach Walton County,USA,Florida,N,Afternoon,wading,Wading/Standing
2024,June,13:15:00,Unprovoked,Y,45,Swimming,Water Sound  Beach Walton County,USA,Florida,N,Afternoon,swimming,Swimming
2024,June,09:00:00,Unprovoked,M,46,Swimming ocean training ,Del Mar Beach San Diego,USA,California,N,Morning,swimming ocean training,Swimming
2024,May,14:00:00,Unprovoked,Y,19,Wading,Jamaica Beach,USA,Galveston,N,Afternoon,wading,Wading/Standing
2024,May,13:30:00,Unprovoked,M,65,Spearfishing,Y-73' Ledge reef Chareston Coast,USA,South Carolina,N,Afternoon,spearfishing,Fishing
2023,June,,Unprovoked,Y,2,Swimming,Brevard County,USA,Florida,N,Unknown,swimming,Swimming
2023,June,10:10:00,Unprovoked,M,,Fishing,Dade County,USA,Florida,N,Morning,fishing,Fishing
2023,June,,Unprovoked,M,,Filming,Laysan,USA,Hawaii,N,Unknown,filming,Photography
2023,May,,Provoked,Y,26,Shark Feeding,Sea Quest Aquarium Layton Davis County,USA,Utah,N,Unknown,shark feeding,Animal Interaction
2023,May,15:00:00,Unprovoked,Y,15,Surfing,Cape May County,USA,New Jersey,N,Afternoon,surfing,Surfing
2023,May,20:00:00,Provoked,M,35,Fishing,Monroe County,USA,Florida,N,Evening,fishing,Fishing
2023,May,15:00:00,Unprovoked,M,20,Spearfishing,Monroe County,USA,Florida,N,Afternoon,spearfishing,Fishing
2023,May,17:00:00,Unprovoked,Y,24,Swimming,Charleston County,USA,South Carolina,N,Evening,swimming,Swimming
2023,May,,Unprovoked,Y,13,Sitting,Lucie County,USA,Florida,N,Unknown,sitting,Other
2023,May,,Provoked,M,,Kayak fishing,Oahu County,USA,Hawaii,N,Unknown,kayak fishing,Fishing
2023,May,11:30:00,Unprovoked,M,22,Spearfishing,Monroe County,USA,Florida,N,Morning,spearfishing,Fishing
2023,April,,Unprovoked,M,,Spearfishing,Manatee County,USA,Florida,N,Unknown,spearfishing,Fishing
2023,April,15:00:00,Unprovoked,Y,50,Windsurfing,Monroe County,USA,Florida,N,Afternoon,windsurfing,Surfing
2023,April,07:00:00,Unknown,M,,Kayak fishing,Palm Beach County,USA,Florida,N,Morning,kayak fishing,Fishing
2023,April,07:00:00,Unprovoked,M,58,Surfing,Oahu County,USA,Hawaii,N,Morning,surfing,Surfing
2023,March,14:00:00,Unprovoked,M,67,Kite-Surfing,Monroe County,USA,Florida,N,Afternoon,kite-surfing,Surfing
2023,March,12:30:00,Unprovoked,M,60,Swimming,Anaehoomalu Bay,USA,Hawaii,N,Afternoon,swimming,Swimming
2023,February,17:30:00,Unprovoked,M,60,Surfing,Martin County,USA,Florida,N,Evening,surfing,Surfing
2023,January,14:00:00,Unprovoked,M,34,Swimming,Monroe County,USA,Florida,N,Afternoon,swimming,Swimming
2023,January,14:50:00,Provoked,M,30,Spearishing,70 miles off Pensacola,USA,Florida,N,Afternoon,spearishing,Fishing
2022,December,08:00:00,Unprovoked,M,68,Swimming,Anaeho'imalu Bay,USA,Hawaii,N,Morning,swimming,Swimming
2022,December,12:00:00,Unprovoked,M,43,Diving,Pago Pago Harbor,USA,Samoa,N,Afternoon,diving,Diving
2022,December,12:00:00,Unprovoked,Y,60,Snorkeling,Maui County,USA,Hawaii,Y,Afternoon,snorkeling,Diving
2022,December,,Unprovoked,M,,Surfing,nan,USA,Texas,N,Unknown,surfing,Surfing
2022,November,,Unprovoked,Y,10,Swimming,Hobe Sound,USA,Florida,N,Unknown,swimming,Swimming
2022,November,10:00:00,Unprovoked,Y,50,Swimming,San Diego County,USA,California,N,Morning,swimming,Swimming
2022,November,15:30:00,Provoked,M,29,Fishing,Gulf County,USA,Florida,N,Afternoon,fishing,Fishing
2022,October,17:17:00,Unprovoked,M,,Surfing,"Otter Point, Pacific Grove",USA,California,N,Evening,surfing,Surfing
2022,October,,Unknown,M,40,Fishing,25 mikes from Empire,USA,Louisiana,N,Unknown,fishing,Fishing
2022,October,,Provoked,M,,Fishing,Horn Island,USA,Mississippi,N,Unknown,fishing,Fishing
2022,October,,Provoked,M,15,Fishing,Monroe County,USA,Florida,N,Unknown,fishing,Fishing
2022,October,,Unprovoked,M,40,Shipwreck,25 miles off Empire,USA,Louisiana,N,Unknown,shipwreck,Other
2022,October,15:30:00,Unprovoked,M,31,Surfing,Centerville Beach,USA,California,N,Afternoon,surfing,Surfing
2022,September,,Unprovoked,M,26,Spearfishing,Monroe County,USA,Florida,N,Unknown,spearfishing,Fishing
2022,September,16:10:00,Unprovoked,Y,51,Swimming  or Snorkeling,Maui County,USA,Hawaii,N,Afternoon,swimming  or snorkeling,Swimming
2022,August,11:17:00,Unprovoked,Y,,Swimming,Horry County,USA,South Carolina,N,Morning,swimming,Swimming
2022,August,12:00:00,Unprovoked,Y,,Standing,Horry County,USA,South Carolina,N,Afternoon,standing,Wading/Standing
2022,August,16:00:00,Unprovoked,M,10,Snorkeling,Monroe County,USA,Florida,N,Afternoon,snorkeling,Diving
